LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01B,005-004,GREEN,3,0,0,0,5
Allegany,06,01B,005-004,LIBERTARIAN,3,0,0,0,6
Allegany,06,01B,005-004,OTHER PARTIES,3,1,1,0,9
Allegany,06,01B,005-004,REPUBLICAN,208,30,9,1,417
Allegany,06,01B,005-004,UNAFFILIATED,57,8,2,1,199
Allegany,06,01B,005-006,DEMOCRAT,60,2,4,0,168
Allegany,06,01B,005-006,GREEN,1,0,0,0,1
Allegany,06,01B,005-006,LIBERTARIAN,1,0,0,0,4
Allegany,06,01B,005-006,OTHER PARTIES,1,0,0,0,3
Allegany,06,01B,005-006,REPUBLICAN,121,18,2,0,253
Allegany,06,01B,005-006,UNAFFILIATED,29,2,0,0,88
Allegany,06,01C,006-001,DEMOCRAT,194,74,30,5,479
Allegany,06,01C,006-001,GREEN,3,2,0,1,8
Allegany,06,01C,006-001,LIBERTARIAN,7,3,0,0,17
Allegany,06,01C,006-001,OTHER PARTIES,4,4,5,2,17
Allegany,06,01C,006-001,REPUBLICAN,217,63,31,3,479
Allegany,06,01C,006-001,UNAFFILIATED,66,15,2,1,203
Allegany,06,01C,006-003,DEMOCRAT,91,52,15,3,288
Allegany,06,01C,006-003,GREEN,0,0,0,0,3
Allegany,06,01C,006-003,LIBERTARIAN,0,0,1,0,4
Allegany,06,01C,006-003,OTHER PARTIES,1,0,0,0,5
Allegany,06,01C,006-003,REPUBLICAN,95,35,10,1,228
Allegany,06,01C,006-003,UNAFFILIATED,32,3,3,1,106
Allegany,06,01C,006-005,DEMOCRAT,160,66,21,5,386
Allegany,06,01C,006-005,GREEN,0,1,0,0,2
Allegany,06,01C,006-005,LIBERTARIAN,2,0,0,0,5
Allegany,06,01C,006-005,OTHER PARTIES,1,0,3,0,13
Allegany,06,01C,006-005,REPUBLICAN,208,57,12,2,404
Allegany,06,01C,006-005,UNAFFILIATED,52,10,1,2,158
Allegany,06,01B,006-006,DEMOCRAT,189,55,14,0,461
Allegany,06,01B,006-006,GREEN,4,0,0,0,5
Allegany,06,01B,006-006,LIBERTARIAN,3,0,1,0,8
Allegany,06,01B,006-006,OTHER PARTIES,4,0,1,0,8
Allegany,06,01B,006-006,REPUBLICAN,353,48,12,1,666
Allegany,06,01B,006-006,UNAFFILIATED,66,3,0,1,215
Allegany,06,01B,007-001,DEMOCRAT,225,34,18,5,492
Allegany,06,01B,007-001,GREEN,0,0,0,0,4
Allegany,06,01B,007-001,LIBERTARIAN,4,1,0,0,13
Allegany,06,01B,007-001,OTHER PARTIES,4,0,2,0,10
Allegany,06,01B,007-001,REPUBLICAN,385,28,16,3,730
Allegany,06,01B,007-001,UNAFFILIATED,78,7,1,2,245
Allegany,06,01A,007-002,DEMOCRAT,211,38,17,5,463
Allegany,06,01A,007-002,GREEN,0,1,0,0,2
Allegany,06,01A,007-002,LIBERTARIAN,3,1,1,0,7
Allegany,06,01A,007-002,OTHER PARTIES,5,1,0,0,13
Allegany,06,01A,007-002,REPUBLICAN,456,35,24,4,852
Allegany,06,01A,007-002,UNAFFILIATED,92,9,4,3,239
Allegany,06,01A,008-000,DEMOCRAT,236,6,18,3,555
Allegany,06,01A,008-000,GREEN,1,0,0,0,5
Allegany,06,01A,008-000,LIBERTARIAN,4,0,0,1,9
Allegany,06,01A,008-000,OTHER PARTIES,6,0,0,0,16
Allegany,06,01A,008-000,REPUBLICAN,595,25,19,0,1160
Allegany,06,01A,008-000,UNAFFILIATED,106,6,5,0,331
Allegany,06,01A,009-000,DEMOCRAT,54,3,6,1,151
Allegany,06,01A,009-000,GREEN,0,0,0,1,1
Allegany,06,01A,009-000,LIBERTARIAN,1,0,0,0,3
Allegany,06,01A,009-000,OTHER PARTIES,2,0,0,0,5
Allegany,06,01A,009-000,REPUBLICAN,282,1,5,3,507
Allegany,06,01A,009-000,UNAFFILIATED,36,1,1,1,120
Allegany,06,01A,010-000,DEMOCRAT,89,2,8,0,205
Allegany,06,01A,010-000,GREEN,0,0,0,0,0
Allegany,06,01A,010-000,LIBERTARIAN,1,0,0,0,2
Allegany,06,01A,010-000,OTHER PARTIES,2,0,1,0,5
Allegany,06,01A,010-000,REPUBLICAN,483,19,18,1,895
Allegany,06,01A,010-000,UNAFFILIATED,32,3,3,1,159
Allegany,06,01B,011-000,DEMOCRAT,180,22,11,8,321
Allegany,06,01B,011-000,GREEN,1,0,0,0,4
Allegany,06,01B,011-000,LIBERTARIAN,1,0,0,0,2
Allegany,06,01B,011-000,OTHER PARTIES,3,0,0,0,5
Allegany,06,01B,011-000,REPUBLICAN,205,11,8,0,364
Allegany,06,01B,011-000,UNAFFILIATED,56,2,2,5,126
Allegany,06,01B,012-000,DEMOCRAT,313,37,26,69,670
Allegany,06,01B,012-000,GREEN,6,0,0,0,10
Allegany,06,01B,012-000,LIBERTARIAN,11,1,0,0,21
Allegany,06,01B,012-000,OTHER PARTIES,1,0,3,0,14
Allegany,06,01B,012-000,REPUBLICAN,522,47,23,21,930
Allegany,06,01B,012-000,UNAFFILIATED,124,9,3,22,363
Allegany,06,01B,013-000,DEMOCRAT,160,8,15,2,386
Allegany,06,01B,013-000,GREEN,0,0,0,0,1
Allegany,06,01B,013-000,LIBERTARIAN,0,1,0,1,3
Allegany,06,01B,013-000,OTHER PARTIES,5,0,0,0,7
Allegany,06,01B,013-000,REPUBLICAN,407,20,19,1,798
Allegany,06,01B,013-000,UNAFFILIATED,86,3,1,2,246
Allegany,06,01B,014-000,DEMOCRAT,73,16,15,0,233
Allegany,06,01B,014-000,GREEN,0,1,0,0,4
Allegany,06,01B,014-000,LIBERTARIAN,2,0,0,0,8
Allegany,06,01B,014-000,OTHER PARTIES,1,0,2,0,3
Allegany,06,01B,014-000,REPUBLICAN,49,11,6,2,154
Allegany,06,01B,014-000,UNAFFILIATED,21,4,0,0,97
Allegany,06,01C,016-000,DEMOCRAT,142,22,14,3,365
Allegany,06,01C,016-000,GREEN,1,1,0,0,10
Allegany,06,01C,016-000,LIBERTARIAN,6,0,0,0,10
Allegany,06,01C,016-000,OTHER PARTIES,3,2,3,0,16
Allegany,06,01C,016-000,REPUBLICAN,382,77,22,2,819
Allegany,06,01C,016-000,UNAFFILIATED,61,9,4,0,221
Allegany,06,01B,018-000,DEMOCRAT,125,13,9,1,277
Allegany,06,01B,018-000,GREEN,0,0,0,0,0
Allegany,06,01B,018-000,LIBERTARIAN,1,0,0,0,5
Allegany,06,01B,018-000,OTHER PARTIES,1,0,0,0,3
Allegany,06,01B,018-000,REPUBLICAN,516,39,33,2,911
Allegany,06,01B,018-000,UNAFFILIATED,39,5,1,1,174
Allegany,06,01B,020-000,DEMOCRAT,142,17,9,2,336
Allegany,06,01B,020-000,GREEN,1,0,0,0,5
Allegany,06,01B,020-000,LIBERTARIAN,2,0,0,0,5
Allegany,06,01B,020-000,OTHER PARTIES,1,0,0,0,11
Allegany,06,01B,020-000,REPUBLICAN,434,43,20,7,781
Allegany,06,01B,020-000,UNAFFILIATED,52,5,2,1,183
Allegany,06,01B,021-000,DEMOCRAT,98,16,8,0,201
Allegany,06,01B,021-000,GREEN,0,1,0,0,2
Allegany,06,01B,021-000,LIBERTARIAN,0,1,0,0,3
Allegany,06,01B,021-000,OTHER PARTIES,4,0,0,0,5
Allegany,06,01B,021-000,REPUBLICAN,266,26,8,1,459
Allegany,06,01B,021-000,UNAFFILIATED,19,6,1,0,126
Allegany,06,01C,022-001,DEMOCRAT,175,50,29,10,561
Allegany,06,01C,022-001,GREEN,0,1,0,0,5
Allegany,06,01C,022-001,LIBERTARIAN,3,0,0,0,17
Allegany,06,01C,022-001,OTHER PARTIES,6,2,2,0,20
Allegany,06,01C,022-001,REPUBLICAN,247,80,28,4,664
Allegany,06,01C,022-001,UNAFFILIATED,81,28,4,2,304
Allegany,06,01B,022-002,DEMOCRAT,16,9,5,0,36
Allegany,06,01B,022-002,GREEN,0,0,0,0,0
Allegany,06,01B,022-002,LIBERTARIAN,1,0,0,0,2
Allegany,06,01B,022-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,022-002,REPUBLICAN,23,9,2,0,52
Allegany,06,01B,022-002,UNAFFILIATED,1,0,0,0,12
Allegany,06,01B,023-000,DEMOCRAT,285,46,39,7,710
Allegany,06,01B,023-000,GREEN,2,0,0,0,8
Allegany,06,01B,023-000,LIBERTARIAN,2,0,1,0,11
Allegany,06,01B,023-000,OTHER PARTIES,4,0,2,0,14
Allegany,06,01B,023-000,REPUBLICAN,382,30,12,4,714
Allegany,06,01B,023-000,UNAFFILIATED,85,4,5,0,334
Allegany,06,01B,024-000,DEMOCRAT,134,17,25,4,318
Allegany,06,01B,024-000,GREEN,0,1,0,0,4
Allegany,06,01B,024-000,LIBERTARIAN,4,0,0,1,4
Allegany,06,01B,024-000,OTHER PARTIES,4,1,2,0,10
Allegany,06,01B,024-000,REPUBLICAN,386,31,23,2,724
Allegany,06,01B,024-000,UNAFFILIATED,51,3,3,0,179
Allegany,06,01B,026-000,DEMOCRAT,314,50,32,284,633
Allegany,06,01B,026-000,GREEN,3,1,1,1,9
Allegany,06,01B,026-000,LIBERTARIAN,8,0,0,0,21
Allegany,06,01B,026-000,OTHER PARTIES,6,0,3,3,14
Allegany,06,01B,026-000,REPUBLICAN,375,41,45,36,759
Allegany,06,01B,026-000,UNAFFILIATED,109,12,7,53,352
Allegany,06,01B,029-001,DEMOCRAT,269,36,19,5,515
Allegany,06,01B,029-001,GREEN,0,0,0,0,3
Allegany,06,01B,029-001,LIBERTARIAN,2,0,0,1,12
Allegany,06,01B,029-001,OTHER PARTIES,4,1,5,0,13
Allegany,06,01B,029-001,REPUBLICAN,510,87,31,10,922
Allegany,06,01B,029-001,UNAFFILIATED,95,20,5,4,267
Allegany,06,01B,029-002,DEMOCRAT,254,36,18,4,471
Allegany,06,01B,029-002,GREEN,0,0,0,0,0
Allegany,06,01B,029-002,LIBERTARIAN,7,0,0,0,12
Allegany,06,01B,029-002,OTHER PARTIES,5,1,0,1,8
Allegany,06,01B,029-002,REPUBLICAN,494,78,20,4,834
Allegany,06,01B,029-002,UNAFFILIATED,79,6,3,2,216
Allegany,06,01B,029-003,DEMOCRAT,182,28,26,0,385
Allegany,06,01B,029-003,GREEN,1,0,0,0,1
Allegany,06,01B,029-003,LIBERTARIAN,1,0,0,0,7
Allegany,06,01B,029-003,OTHER PARTIES,2,1,0,0,7
Allegany,06,01B,029-003,REPUBLICAN,307,57,12,2,598
Allegany,06,01B,029-003,UNAFFILIATED,59,4,3,0,167
Allegany,06,01A,031-000,DEMOCRAT,106,15,10,0,285
Allegany,06,01A,031-000,GREEN,0,0,0,0,0
Allegany,06,01A,031-000,LIBERTARIAN,3,0,0,0,5
Allegany,06,01A,031-000,OTHER PARTIES,1,0,2,0,5
Allegany,06,01A,031-000,REPUBLICAN,322,17,4,3,565
Allegany,06,01A,031-000,UNAFFILIATED,51,2,4,0,170
Allegany,06,01B,034-000,DEMOCRAT,214,27,24,2,420
Allegany,06,01B,034-000,GREEN,1,0,0,0,2
Allegany,06,01B,034-000,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,034-000,OTHER PARTIES,3,0,0,1,7
Allegany,06,01B,034-000,REPUBLICAN,370,48,21,7,652
Allegany,06,01B,034-000,UNAFFILIATED,69,5,2,1,204
Allegany,,,Unable to Determine,DEMOCRAT,0,0,0,6,
Allegany,,,Unable to Determine,GREEN,0,0,0,0,
Allegany,,,Unable to Determine,LIBERTARIAN,0,0,0,0,
Allegany,,,Unable to Determine,OTHER PARTIES,0,0,0,0,
Allegany,,,Unable to Determine,REPUBLICAN,0,0,0,1,
Allegany,,,Unable to Determine,UNAFFILIATED,0,0,0,0,
Anne Arundel,03,32,001-001,DEMOCRAT,320,113,12,16,681
Anne Arundel,03,32,001-001,GREEN,1,0,1,1,4
Anne Arundel,03,32,001-001,LIBERTARIAN,5,0,1,0,14
Anne Arundel,03,32,001-001,OTHER PARTIES,2,0,3,0,9
Anne Arundel,03,32,001-001,REPUBLICAN,354,95,17,4,656
Anne Arundel,03,32,001-001,UNAFFILIATED,121,27,2,6,306
Anne Arundel,03,32,001-002,DEMOCRAT,287,95,18,10,631
Anne Arundel,03,32,001-002,GREEN,2,1,0,0,4
Anne Arundel,03,32,001-002,LIBERTARIAN,2,0,0,0,9
Anne Arundel,03,32,001-002,OTHER PARTIES,1,1,0,1,6
Anne Arundel,03,32,001-002,REPUBLICAN,370,72,18,8,659
Anne Arundel,03,32,001-002,UNAFFILIATED,144,25,9,5,353
Anne Arundel,03,32,001-003,DEMOCRAT,266,157,22,3,883
Anne Arundel,03,32,001-003,GREEN,2,0,0,0,3
Anne Arundel,03,32,001-003,LIBERTARIAN,4,3,0,0,17
Anne Arundel,03,32,001-003,OTHER PARTIES,0,0,1,0,4
Anne Arundel,03,32,001-003,REPUBLICAN,295,113,15,0,747
Anne Arundel,03,32,001-003,UNAFFILIATED,98,29,2,3,429
Anne Arundel,02,31A,001-004,DEMOCRAT,411,178,35,8,1131
Anne Arundel,02,31A,001-004,GREEN,1,0,0,0,4
Anne Arundel,02,31A,001-004,LIBERTARIAN,2,0,0,0,12
Anne Arundel,02,31A,001-004,OTHER PARTIES,2,0,1,1,8
Anne Arundel,02,31A,001-004,REPUBLICAN,152,71,7,3,452
Anne Arundel,02,31A,001-004,UNAFFILIATED,83,30,6,5,367
Anne Arundel,02,32,001-005,DEMOCRAT,307,167,23,17,835
Anne Arundel,02,32,001-005,GREEN,2,1,0,0,7
Anne Arundel,02,32,001-005,LIBERTARIAN,3,0,1,0,11
Anne Arundel,02,32,001-005,OTHER PARTIES,3,0,2,0,10
Anne Arundel,02,32,001-005,REPUBLICAN,196,95,11,6,475
Anne Arundel,02,32,001-005,UNAFFILIATED,123,39,14,5,395
Anne Arundel,02,32,001-006,DEMOCRAT,474,273,29,26,1299
Anne Arundel,02,32,001-006,GREEN,0,0,0,0,8
Anne Arundel,02,32,001-006,LIBERTARIAN,6,1,1,0,14
Anne Arundel,02,32,001-006,OTHER PARTIES,3,0,2,1,8
Anne Arundel,02,32,001-006,REPUBLICAN,203,64,13,4,498
Anne Arundel,02,32,001-006,UNAFFILIATED,157,56,4,6,491
Anne Arundel,02,32,001-007,DEMOCRAT,235,43,12,5,556
Anne Arundel,02,32,001-007,GREEN,5,1,0,0,7
Anne Arundel,02,32,001-007,LIBERTARIAN,4,1,0,0,14
Anne Arundel,02,32,001-007,OTHER PARTIES,3,1,0,0,9
Anne Arundel,02,32,001-007,REPUBLICAN,307,45,7,2,581
Anne Arundel,02,32,001-007,UNAFFILIATED,138,19,8,2,368
Anne Arundel,03,32,001-008,DEMOCRAT,308,130,20,6,858
Anne Arundel,03,32,001-008,GREEN,0,1,0,0,6
Anne Arundel,03,32,001-008,LIBERTARIAN,2,1,0,0,11
Anne Arundel,03,32,001-008,OTHER PARTIES,3,0,0,0,5
Anne Arundel,03,32,001-008,REPUBLICAN,398,109,7,9,816
Anne Arundel,03,32,001-008,UNAFFILIATED,143,53,4,8,463
Anne Arundel,03,32,001-009,DEMOCRAT,257,129,19,8,697
Anne Arundel,03,32,001-009,GREEN,0,0,0,0,3
Anne Arundel,03,32,001-009,LIBERTARIAN,4,2,0,0,14
Anne Arundel,03,32,001-009,OTHER PARTIES,0,3,1,0,7
Anne Arundel,03,32,001-009,REPUBLICAN,339,120,12,3,744
Anne Arundel,03,32,001-009,UNAFFILIATED,113,27,7,0,368
Anne Arundel,02,32,001-010,DEMOCRAT,273,48,21,7,510
Anne Arundel,02,32,001-010,GREEN,0,0,0,0,1
Anne Arundel,02,32,001-010,LIBERTARIAN,3,0,1,0,5
Anne Arundel,02,32,001-010,OTHER PARTIES,7,1,2,0,11
Anne Arundel,02,32,001-010,REPUBLICAN,301,79,21,2,557
Anne Arundel,02,32,001-010,UNAFFILIATED,96,13,7,1,256
Anne Arundel,02,32,001-011,DEMOCRAT,202,55,11,8,396
Anne Arundel,02,32,001-011,GREEN,2,0,0,0,6
Anne Arundel,02,32,001-011,LIBERTARIAN,3,0,0,0,6
Anne Arundel,02,32,001-011,OTHER PARTIES,0,0,0,0,1
Anne Arundel,02,32,001-011,REPUBLICAN,293,42,6,6,469
Anne Arundel,02,32,001-011,UNAFFILIATED,105,16,6,3,243
Anne Arundel,02,31A,001-012,DEMOCRAT,538,198,25,42,1747
Anne Arundel,02,31A,001-012,GREEN,1,0,0,2,8
Anne Arundel,02,31A,001-012,LIBERTARIAN,6,0,0,1,15
Anne Arundel,02,31A,001-012,OTHER PARTIES,3,1,1,1,14
Anne Arundel,02,31A,001-012,REPUBLICAN,115,45,10,10,426
Anne Arundel,02,31A,001-012,UNAFFILIATED,107,35,4,8,554
Anne Arundel,02,31A,001-013,DEMOCRAT,181,39,5,8,562
Anne Arundel,02,31A,001-013,GREEN,0,1,0,0,7
Anne Arundel,02,31A,001-013,LIBERTARIAN,6,0,1,0,11
Anne Arundel,02,31A,001-013,OTHER PARTIES,1,0,0,0,6
Anne Arundel,02,31A,001-013,REPUBLICAN,80,25,1,2,262
Anne Arundel,02,31A,001-013,UNAFFILIATED,61,7,0,4,257
Anne Arundel,03,31A,001-014,DEMOCRAT,247,140,24,8,794
Anne Arundel,03,31A,001-014,GREEN,2,1,0,0,6
Anne Arundel,03,31A,001-014,LIBERTARIAN,6,1,2,0,13
Anne Arundel,03,31A,001-014,OTHER PARTIES,0,2,1,0,9
Anne Arundel,03,31A,001-014,REPUBLICAN,246,111,12,4,629
Anne Arundel,03,31A,001-014,UNAFFILIATED,91,37,4,1,346
Anne Arundel,02,31A,001-015,DEMOCRAT,335,94,18,6,809
Anne Arundel,02,31A,001-015,GREEN,0,0,0,0,3
Anne Arundel,02,31A,001-015,LIBERTARIAN,2,0,0,1,10
Anne Arundel,02,31A,001-015,OTHER PARTIES,3,0,0,0,8
Anne Arundel,02,31A,001-015,REPUBLICAN,246,64,4,5,533
Anne Arundel,02,31A,001-015,UNAFFILIATED,115,26,4,2,367
Anne Arundel,02,31A,001-016,DEMOCRAT,332,76,11,18,966
Anne Arundel,02,31A,001-016,GREEN,2,0,0,0,5
Anne Arundel,02,31A,001-016,LIBERTARIAN,3,1,0,0,13
Anne Arundel,02,31A,001-016,OTHER PARTIES,1,0,1,0,8
Anne Arundel,02,31A,001-016,REPUBLICAN,199,69,3,8,511
Anne Arundel,02,31A,001-016,UNAFFILIATED,91,24,4,3,411
Anne Arundel,02,31A,001-017,DEMOCRAT,209,84,7,8,629
Anne Arundel,02,31A,001-017,GREEN,0,0,0,0,3
Anne Arundel,02,31A,001-017,LIBERTARIAN,6,1,0,0,15
Anne Arundel,02,31A,001-017,OTHER PARTIES,2,0,1,0,8
Anne Arundel,02,31A,001-017,REPUBLICAN,129,35,4,3,365
Anne Arundel,02,31A,001-017,UNAFFILIATED,72,9,1,5,313
Anne Arundel,02,31A,001-018,DEMOCRAT,472,315,37,18,1561
Anne Arundel,02,31A,001-018,GREEN,0,1,0,0,3
Anne Arundel,02,31A,001-018,LIBERTARIAN,2,1,0,1,16
Anne Arundel,02,31A,001-018,OTHER PARTIES,4,3,0,0,13
Anne Arundel,02,31A,001-018,REPUBLICAN,194,107,12,1,582
Anne Arundel,02,31A,001-018,UNAFFILIATED,121,54,12,5,521
Anne Arundel,02,32,001-019,DEMOCRAT,448,316,37,20,1230
Anne Arundel,02,32,001-019,GREEN,1,1,0,0,5
Anne Arundel,02,32,001-019,LIBERTARIAN,3,2,0,0,11
Anne Arundel,02,32,001-019,OTHER PARTIES,3,1,0,0,9
Anne Arundel,02,32,001-019,REPUBLICAN,184,98,12,7,483
Anne Arundel,02,32,001-019,UNAFFILIATED,179,66,5,6,525
Anne Arundel,02,32,001-020,DEMOCRAT,386,382,42,7,1214
Anne Arundel,02,32,001-020,GREEN,1,1,0,0,4
Anne Arundel,02,32,001-020,LIBERTARIAN,2,2,0,0,19
Anne Arundel,02,32,001-020,OTHER PARTIES,3,4,2,0,14
Anne Arundel,02,32,001-020,REPUBLICAN,205,129,20,2,565
Anne Arundel,02,32,001-020,UNAFFILIATED,159,72,13,3,512
Anne Arundel,02,32,001-021,DEMOCRAT,535,333,24,23,1556
Anne Arundel,02,32,001-021,GREEN,1,0,0,0,2
Anne Arundel,02,32,001-021,LIBERTARIAN,1,3,1,0,10
Anne Arundel,02,32,001-021,OTHER PARTIES,3,1,0,1,8
Anne Arundel,02,32,001-021,REPUBLICAN,101,41,9,3,279
Anne Arundel,02,32,001-021,UNAFFILIATED,122,56,5,6,440
Anne Arundel,02,32,001-022,DEMOCRAT,825,543,91,49,2543
Anne Arundel,02,32,001-022,GREEN,4,0,1,0,15
Anne Arundel,02,32,001-022,LIBERTARIAN,19,2,1,1,47
Anne Arundel,02,32,001-022,OTHER PARTIES,4,1,1,1,16
Anne Arundel,02,32,001-022,REPUBLICAN,339,169,30,12,1074
Anne Arundel,02,32,001-022,UNAFFILIATED,398,166,49,18,1377
Anne Arundel,02,32,001-023,DEMOCRAT,308,149,24,34,723
Anne Arundel,02,32,001-023,GREEN,0,1,0,0,3
Anne Arundel,02,32,001-023,LIBERTARIAN,6,1,0,0,14
Anne Arundel,02,32,001-023,OTHER PARTIES,3,1,0,0,7
Anne Arundel,02,32,001-023,REPUBLICAN,97,20,9,8,232
Anne Arundel,02,32,001-023,UNAFFILIATED,92,32,12,6,274
Anne Arundel,02,32,001-024,DEMOCRAT,280,165,20,11,759
Anne Arundel,02,32,001-024,GREEN,0,0,0,0,3
Anne Arundel,02,32,001-024,LIBERTARIAN,4,2,0,0,15
Anne Arundel,02,32,001-024,OTHER PARTIES,0,1,0,0,5
Anne Arundel,02,32,001-024,REPUBLICAN,131,46,8,3,306
Anne Arundel,02,32,001-024,UNAFFILIATED,103,39,11,1,327
Anne Arundel,02,32,001-025,DEMOCRAT,230,97,23,13,570
Anne Arundel,02,32,001-025,GREEN,2,1,0,0,5
Anne Arundel,02,32,001-025,LIBERTARIAN,5,0,0,0,10
Anne Arundel,02,32,001-025,OTHER PARTIES,1,0,2,0,7
Anne Arundel,02,32,001-025,REPUBLICAN,201,41,8,3,432
Anne Arundel,02,32,001-025,UNAFFILIATED,126,30,6,3,337
Anne Arundel,02,32,001-026,DEMOCRAT,825,304,28,39,2402
Anne Arundel,02,32,001-026,GREEN,3,0,0,3,9
Anne Arundel,02,32,001-026,LIBERTARIAN,6,1,0,1,17
Anne Arundel,02,32,001-026,OTHER PARTIES,2,0,1,0,9
Anne Arundel,02,32,001-026,REPUBLICAN,104,48,7,1,345
Anne Arundel,02,32,001-026,UNAFFILIATED,156,40,7,12,640
Anne Arundel,03,32,002-001,DEMOCRAT,247,155,28,18,671
Anne Arundel,03,32,002-001,GREEN,1,0,0,0,4
Anne Arundel,03,32,002-001,LIBERTARIAN,4,0,0,0,11
Anne Arundel,03,32,002-001,OTHER PARTIES,2,1,1,0,8
Anne Arundel,03,32,002-001,REPUBLICAN,253,110,19,7,620
Anne Arundel,03,32,002-001,UNAFFILIATED,116,41,18,3,379
Anne Arundel,04,32,002-002,DEMOCRAT,278,116,15,11,717
Anne Arundel,04,32,002-002,GREEN,2,0,0,0,5
Anne Arundel,04,32,002-002,LIBERTARIAN,1,0,0,0,7
Anne Arundel,04,32,002-002,OTHER PARTIES,2,0,4,0,8
Anne Arundel,04,32,002-002,REPUBLICAN,220,81,13,7,512
Anne Arundel,04,32,002-002,UNAFFILIATED,93,26,6,4,303
Anne Arundel,03,32,002-003,DEMOCRAT,296,112,15,10,789
Anne Arundel,03,32,002-003,GREEN,1,0,0,0,5
Anne Arundel,03,32,002-003,LIBERTARIAN,3,2,1,0,15
Anne Arundel,03,32,002-003,OTHER PARTIES,1,1,0,0,6
Anne Arundel,03,32,002-003,REPUBLICAN,272,73,7,1,570
Anne Arundel,03,32,002-003,UNAFFILIATED,115,32,3,3,360
Anne Arundel,03,32,002-004,DEMOCRAT,391,301,36,10,1099
Anne Arundel,03,32,002-004,GREEN,1,1,0,0,5
Anne Arundel,03,32,002-004,LIBERTARIAN,3,1,0,0,16
Anne Arundel,03,32,002-004,OTHER PARTIES,2,3,1,1,11
Anne Arundel,03,32,002-004,REPUBLICAN,293,164,21,9,785
